
Tarih	Hft	T1	T2	T3	T4	T5	T6	Joker	Super
10/11/2021	135	8	31	32	55	65	71	84	21
08/11/2021	134	16	25	36	54	56	61	4	84
06/11/2021	133	23	35	37	52	59	65	73	28
03/11/2021	132	16	24	40	57	68	78	37	1
01/11/2021	131	34	44	62	69	72	86	27	70
30/10/2021	130	36	40	41	54	55	64	48	16
27/10/2021	129	2	18	25	36	45	65	26	24
25/10/2021	128	7	22	30	37	60	67	61	31
23/10/2021	127	26	36	49	74	80	81	61	16
20/10/2021	126	5	11	30	40	56	61	46	62
18/10/2021	125	23	26	34	44	46	56	49	0
16/10/2021	124	17	24	27	47	57	68	13	0
13/10/2021	123	5	39	58	60	66	75	86	0
11/10/2021	122	17	42	50	76	84	89	12	0
09/10/2021	121	16	18	50	52	69	86	17	0
06/10/2021	120	2	3	4	36	44	89	34	0
04/10/2021	119	1	19	26	41	69	77	90	0
02/10/2021	118	15	33	43	63	80	90	86	0
29/09/2021	117	11	14	24	47	67	84	90	0
27/08/2021	116	29	32	50	61	80	84	24	0
25/09/2021	115	4	22	24	27	72	77	32	0
22/09/2021	114	11	13	37	42	59	82	78	0
20/09/2021	113	1	12	15	16	20	70	54	0
18/09/2021	112	9	19	47	48	67	90	20	0
15/09/2021	111	6	33	49	65	68	80	20	0
13/09/2021	110	9	12	20	25	41	89	76	0
11/09/2021	109	3	4	11	18	19	32	28	0
08/09/2021	108	23	51	53	58	68	75	54	0
06/09/2021	107	16	38	50	56	77	82	85	0
04/09/2021	106	3	21	27	32	40	49	26	0
01/09/2021	105	5	8	21	27	50	78	20	0
30/08/2021	104	30	46	48	68	87	88	42	0
28/08/2021	103	16	25	58	66	80	89	55	0
25/08/2021	102	22	34	49	54	63	89	57	0
23/08/2021	101	12	14	23	31	32	87	77	0
21/08/2021	100	14	40	41	44	72	77	43	0
18/08/2021	99	36	41	48	59	64	84	54	0
16/08/2021	98	29	44	45	67	84	86	5	0
14/08/2021	97	2	5	44	64	71	80	54	0
11/08/2021	96	8	35	38	57	74	80	16	0
09/08/2021	95	22	30	42	44	66	77	18	0
07/08/2021	94	6	43	49	83	85	86	55	0
04/08/2021	93	23	33	35	51	59	67	89	0
02/08/2021	92	6	10	26	65	69	90	49	0
31/07/2021	91	8	14	15	16	36	64	33	0
28/07/2021	90	18	20	33	40	74	86	68	0
26/07/2021	89	1	8	50	68	83	87	43	0
24/07/2021	88	13	24	47	73	75	76	10	0
21/07/2021	87	8	22	52	60	83	89	39	0
19/07/2021	86	2	9	31	61	85	88	83	0
17/07/2021	85	1	5	6	43	52	55	84	0
14/07/2021	84	12	44	45	52	67	71	55	0
12/07/2021	83	2	19	23	51	73	90	42	0
10/07/2021	82	8	46	58	66	71	73	84	0
07/07/2021	81	11	23	42	47	48	59	18	0
05/07/2021	80	29	60	62	63	76	81	87	0
03/07/2021	79	14	52	56	76	84	85	35	0
30/06/2021	78	40	53	55	67	78	87	13	0
28/06/2021	77	7	44	45	57	62	66	88	0
26/06/2021	76	7	22	26	31	82	84	33	0
23/06/2021	75	28	48	59	61	65	67	47	0
21/06/2021	74	8	25	46	52	77	79	48	0
19/06/2021	73	21	24	25	48	72	76	43	0
16/06/2021	72	10	12	17	40	52	83	57	0
14/06/2021	71	13	23	40	41	62	77	1	0
12/06/2021	70	5	13	15	37	52	78	88	0
09/06/2021	69	15	26	61	66	79	82	80	0
07/06/2021	68	24	52	60	62	87	89	32	0
05/06/2021	67	2	7	30	32	67	73	34	0
02/06/2021	66	16	43	46	48	60	72	80	0
31/05/2021	65	6	21	32	58	88	90	82	0
29/05/2021	64	7	17	39	44	55	67	63	0
26/05/2021	63	47	48	49	52	58	85	15	0
24/05/2021	62	7	16	59	69	78	89	8	0
22/05/2021	61	1	11	56	59	80	81	40	0
19/05/2021	60	10	11	24	53	71	90	77	0
17/05/2021	59	21	46	48	62	89	90	6	0
15/05/2021	58	17	29	52	74	77	85	9	0
12/05/2021	57	13	43	45	70	76	86	7	0
10/05/2021	56	7	19	49	55	61	89	53	0
08/05/2021	55	1	15	43	62	64	85	57	0
05/05/2021	54	1	3	21	58	70	82	5	0
03/05/2021	53	3	12	60	65	67	85	49	0
01/05/2021	52	14	15	17	54	68	82	88	0
28/04/2021	51	1	15	32	50	55	69	17	0
26/04/2021	50	3	34	42	52	66	70	28	0
24/04/2021	49	6	19	29	51	62	81	30	0
21/04/2021	48	13	33	58	74	78	89	46	0
19/04/2021	47	12	23	56	79	82	86	5	0
17/04/2021	46	27	39	56	73	83	84	23	0
14/04/2021	45	2	4	21	37	63	73	81	0
12/04/2021	44	18	48	66	72	88	90	5	0
10/04/2021	43	5	21	30	43	45	60	39	0
07/04/2021	42	13	53	64	69	78	80	42	0
05/04/2021	41	19	35	39	62	64	86	90	0
03/04/2021	40	8	34	39	65	72	73	11	0
31/03/2021	39	1	3	59	83	84	88	37	0
29/03/2021	38	5	21	41	51	56	66	23	0
27/03/2021	37	3	11	21	28	62	83	7	0
24/03/2021	36	3	4	11	22	37	88	43	0
22/03/2021	35	9	12	39	64	70	89	40	0
20/03/2021	34	6	22	28	50	72	90	74	0
17/03/2021	33	7	13	15	69	78	79	10	0
15/03/2021	32	23	27	37	56	79	83	71	0
13/03/2021	31	11	19	25	32	54	71	61	0
10/03/2021	30	4	23	30	49	53	87	22	0
08/03/2021	29	22	38	45	47	70	87	24	0
06/03/2021	28	8	12	20	31	45	87	62	0
03/03/2021	27	2	11	13	34	47	74	84	0
01/03/2021	26	5	30	46	60	69	84	1	0
27/02/2021	25	2	14	29	30	69	80	53	0
24/02/2021	24	9	26	30	43	54	73	63	0
22/02/2021	23	23	35	59	64	75	81	66	0
20/02/2021	22	11	26	33	63	69	83	45	0
17/02/2021	21	10	12	57	75	80	83	25	0
15/02/2021	20	8	11	16	47	64	87	15	0
13/02/2021	19	3	20	24	47	63	69	32	0
10/02/2021	18	21	24	31	38	46	71	10	0
08/02/2021	17	1	5	13	33	40	52	12	0
06/02/2021	16	24	32	33	34	45	61	81	0
03/02/2021	15	5	41	45	52	65	89	20	0
01/02/2021	14	15	51	55	60	62	90	11	0
30/01/2021	13	4	12	21	29	42	90	51	0
27/01/2021	12	20	62	64	71	73	78	18	0
25/01/2021	11	15	18	61	70	74	90	29	0
23/01/2021	10	4	5	18	37	41	60	40	0
20/01/2021	9	19	24	39	61	63	73	6	0
18/01/2021	8	23	29	43	68	88	90	85	0
16/01/2021	7	43	71	73	75	86	88	79	0
13/01/2021	6	18	28	41	57	71	88	58	0
11/01/2021	5	6	20	32	54	73	88	11	0
09/01/2021	4	8	32	33	62	82	83	43	0
06/01/2021	3	1	32	60	62	63	74	20	0
04/01/2021	2	6	7	41	63	81	83	18	0
02/01/2021	1	3	7	9	22	27	70	20	0
2020
Tarih	Hft	T1	T2	T3	T4	T5	T6	Joker	Super
30/12/2020	65	1	31	45	53	58	72	23	0
28/12/2020	64	28	44	46	68	74	82	29	0
26/12/2020	63	18	33	38	42	56	79	89	0
23/12/2020	62	12	27	42	52	72	89	33	0
21/12/2020	61	4	5	56	63	66	75	71	0
19/12/2020	60	14	27	63	65	71	77	38	0
16/12/2020	59	13	49	62	69	79	89	56	0
14/12/2020	58	3	6	32	60	74	76	68	0
12/12/2020	57	12	23	28	31	43	60	7	0
09/12/2020	56	9	13	27	53	62	90	24	0
07/12/2020	55	21	39	57	58	74	81	63	0
05/12/2020	54	5	20	22	27	70	76	79	0
02/12/2020	53	29	32	36	46	72	77	45	0
30/11/2020	52	7	8	22	48	57	87	32	0
28/11/2020	51	3	21	31	42	65	80	18	0
25/11/2020	50	39	42	46	53	78	87	90	0
23/11/2020	49	8	22	42	52	55	71	49	0
21/11/2020	48	17	46	61	66	78	83	9	0
18/11/2020	47	8	22	50	55	71	87	18	0
16/11/2020	46	29	33	39	49	56	89	19	0
14/11/2020	45	1	6	14	15	30	72	22	0
11/11/2020	44	12	20	38	72	74	87	14	0
09/11/2020	43	5	11	32	69	70	77	28	0
07/11/2020	42	16	43	64	73	85	88	24	0
04/11/2020	41	7	8	39	55	61	72	60	0
02/1/2020	40	5	20	22	49	55	73	74	0
31/10/2020	39	15	16	19	74	75	81	20	0
28/10/2020	38	18	23	44	52	59	72	74	0
26/10/2020	37	44	71	74	76	83	87	37	0
24/10/2020	36	1	13	15	27	59	75	28	0
21/10/2020	35	13	22	37	43	66	87	65	0
19/10/2020	34	29	45	52	81	82	86	26	0
17/10/2020	33	25	35	36	50	79	82	83	0
14/10/2020	32	14	26	28	62	74	84	21	0
12/10/2020	31	18	22	50	52	67	73	27	0
10/10/2020	30	37	42	43	62	77	87	59	0
07/102020	29	17	26	37	38	41	85	67	0
05/10/2020	28	18	44	46	48	56	79	39	0
03/10/2020	27	5	23	24	54	83	87	52	0
30/09/2020	26	8	25	28	35	43	59	77	0
26/09/2020	24	9	14	41	44	49	80	38	0
23/09/2020	23	5	6	14	21	31	90	11	0
21/09/2020	22	3	37	53	65	74	75	35	0
19/09/2020	21	19	44	45	61	71	87	83	0
16/09/2020	20	19	25	35	47	57	85	55	0
14/09/2020	19	1	48	54	65	72	82	23	0
12/09/2020	18	6	52	54	71	74	90	48	0
09/09/2020	17	1	21	29	41	44	72	86	0
07/09/2020	16	30	35	57	71	73	77	24	0
05/09/2020	15	18	54	61	70	75	85	87	0
02/09/2020	14	11	12	21	27	73	88	86	0
31/08/2020	13	2	11	15	30	35	53	67	0
29/08/2020	12	1	18	19	85	87	89	13	0
26/08/2020	11	13	27	38	58	59	67	45	0
24/08/2020	10	11	27	38	45	58	88	33	0
22/08/2020	9	1	8	18	51	55	70	36	0
19/08/2020	8	32	33	34	47	82	89	86	0
17/08/2020	7	5	18	25	44	55	82	49	0
15/08/2020	6	7	52	74	79	83	85	30	0
12/08/2020	5	10	39	67	80	82	87	2	0
10/08/2020	4	1	4	17	19	51	63	6	0
08/08/2020	3	11	31	33	44	68	78	14	0
05/08/2020	2	46	56	59	65	83	84	48	0
03/08/2020	1	4	34	39	42	47	61	72	0
2020
Tarih	Hft	T1	T2	T3	T4	T5	T6
29/07/2020	1344	3	5	25	41	45	49
25/07/2020	1343	8	16	22	24	30	45
22/07/2020	1342	13	19	20	23	28	39
18/07/2020	1341	4	19	20	27	36	42
15/07/2020	1340	6	8	13	15	19	46
11/07/2020	1339	4	7	11	12	13	27
08/07/2020	1338	3	9	10	18	28	43
04/07/2020	1337	3	7	10	13	28	40
01/07/2020	1336	6	7	13	17	18	38
27/06/2020	1335	5	11	24	30	39	41
24/06/2020	1334	6	10	30	36	43	46
20/06/2020	1333	24	29	36	41	45	46
17/06/2020	1332	1	3	13	41	42	47
13/06/2020	1331	1	10	18	20	31	49
10/06/2020	1330	15	16	25	26	36	39
06/06/2020	1329	5	11	24	39	41	44
03/06/2020	1328	2	28	31	32	44	46
30/05/2020	1327	12	15	18	28	43	44
27/05/2020	1326	3	8	13	15	38	41
23/05/2020	1325	14	16	19	27	32	48
20/05/2020	1324	2	12	15	16	30	33
16/05/2020	1323	28	30	40	45	46	47
13/05/2020	1322	5	8	10	24	30	37
09/05/2020	1321	19	22	23	30	38	49
06/05/2020	1320	5	15	17	26	31	34
02/05/2020	1319	2	4	14	27	29	39
29/04/2020	1318	7	12	20	21	41	46
25/04/2020	1317	2	14	25	31	42	49
22/04/2020	1316	5	9	10	27	35	45
18/04/2020	1315	4	10	19	38	39	45
15/04/2020	1314	9	26	34	44	46	49
11/04/2020	1313	6	22	25	28	32	48
08/04/2020	1312	5	11	19	20	28	46
04/04/2020	1311	5	14	25	27	46	49
01/04/2020	1310	4	10	15	23	30	31
28/03/2020	1309	2	17	23	27	37	44
25/03/2020	1308	8	19	31	32	39	46
21/03/2020	1307	2	7	15	29	40	48
18/03/2020	1306	14	21	27	29	39	47
14/03/2020	1305	2	6	15	17	19	33
11/03/2020	1304	10	21	31	34	43	49
07/03/2020	1303	7	10	15	23	31	35
04/03/2020	1302	5	14	16	30	39	42
29/02/2020	1301	1	7	11	24	26	33
26/02/2020	1300	3	12	15	28	29	38
22/02/2020	1299	18	19	26	39	40	45
19/02/2020	1298	5	11	14	26	42	43
15/02/2020	1297	5	15	24	27	30	34
12/02/2020	1296	4	9	14	17	26	30
08/02/2020	1295	7	14	16	22	39	42
05/02/2020	1294	4	7	28	29	35	37
01/02/2020	1293	10	11	16	17	42	46
29/01/2020	1292	11	17	30	35	42	44
25/01/2020	1291	9	10	17	22	23	26
22/01/2020	1290	2	20	22	24	44	46
18/01/2020	1289	14	37	41	42	43	48
15/01/2020	1288	12	13	14	17	23	48
11/01/2020	1287	9	15	17	34	35	38
08/01/2020	1286	20	25	28	38	40	49
04/01/2020	1285	3	12	17	20	41	47
01/01/2020	1284	13	25	32	33	34	49
2019
Tarih	Hft	T1	T2	T3	T4	T5	T6
28/12/2019	1283	7	12	15	17	19	48
25/12/2019	1282	3	15	39	40	43	46
21/12/2019	1281	15	19	23	34	36	41
18/12/2019	1280	1	6	13	24	25	37
14/12/2019	1279	9	22	24	25	39	40
11/12/2019	1278	7	12	19	24	25	32
07/12/2019	1277	7	10	11	13	31	46
04/12/2019	1276	4	5	9	19	32	39
30/11/2019	1275	6	13	27	34	36	43
27/11/2019	1274	8	17	19	23	35	40
23/11/2019	1273	13	20	26	27	29	33
20/11/2019	1272	9	25	30	34	35	42
16/11/2019	1271	16	32	33	34	43	45
13/11/2019	1270	3	12	13	26	31	33
09/11/2019	1269	1	2	19	22	40	44
06/11/2019	1268	8	17	18	20	29	44
02/11/2019	1267	6	29	31	32	44	45
30/10/2019	1266	7	16	21	31	36	46
26/10/2019	1265	4	6	21	29	30	47
23/10/2019	1264	7	17	28	30	36	41
19/10/2019	1263	4	6	10	18	22	35
16/10/2019	1262	1	4	6	35	40	47
12/10/2019	1261	5	6	21	27	37	46
09/10/2019	1260	4	22	30	37	42	46
05/10/2019	1259	6	19	23	24	27	34
02/10/2019	1258	16	17	31	33	34	42
28/09/2019	1257	3	13	15	17	28	32
25/09/2019	1256	4	6	10	13	26	39
21/09/2019	1255	2	6	7	23	37	40
18/09/2019	1254	9	11	15	27	30	49
14/09/2019	1253	1	6	12	15	19	26
11/09/2019	1252	3	14	35	37	39	40
07/09/2019	1251	3	4	11	15	16	30
04/09/2019	1250	5	7	25	28	42	47
31/08/2019	1249	7	17	22	36	43	44
28/08/2019	1248	7	9	16	28	35	47
24/08/2019	1247	1	8	21	23	25	28
21/08/2019	1246	17	18	29	30	32	34
17/08/2019	1245	4	6	17	39	41	42
14/08/2019	1244	1	34	35	36	37	38
10/08/2019	1243	8	11	12	41	45	49
07/08/2019	1242	11	16	24	33	38	49
03/08/2019	1241	2	7	8	37	40	44
31/07/2019	1240	7	19	20	26	30	37
27/07/2019	1239	5	18	19	20	29	46
24/07/2019	1238	8	12	20	21	37	46
20/07/2019	1237	6	13	21	24	36	48
17/07/2019	1236	6	15	25	27	36	44
13/07/2019	1235	6	10	12	21	26	27
10/07/2019	1234	5	14	24	37	44	49
06/07/2019	1233	4	7	14	23	27	42
03/07/2019	1232	13	15	17	29	38	39
29/06/2019	1231	1	6	14	24	26	40
26/06/2019	1230	9	14	22	24	42	48
22/06/2019	1229	11	14	17	27	38	41
19/06/2019	1228	7	34	36	38	42	48
15/06/2019	1227	1	3	25	29	40	43
12/06/2019	1226	3	12	18	31	33	43
08/06/2019	1225	7	10	13	17	45	46
05/06/2019	1224	1	9	14	18	22	23
01/06/2019	1223	1	9	22	27	39	40
29/05/2019	1222	4	8	13	19	27	41
25/05/2019	1221	6	11	16	21	38	39
22/05/2019	1220	12	18	19	20	21	26
18/05/2019	1219	16	21	26	42	45	48
15/05/2019	1218	3	10	29	33	41	48
11/05/2019	1217	5	12	16	25	27	44
08/05/2019	1216	8	13	15	31	32	37
04/05/2019	1215	5	15	24	28	33	36
01/05/2019	1214	6	11	18	20	25	33
27/04/2019	1213	3	7	11	21	34	44
24/04/2019	1212	3	17	23	39	41	47
20/04/2019	1211	7	26	30	36	43	49
17/04/2019	1210	3	10	18	23	24	42
13/04/2019	1209	5	10	22	42	45	49
10/04/2019	1208	19	20	22	31	40	47
06/04/2019	1207	4	12	17	42	43	45
03/04/2019	1206	1	3	13	34	35	48
30/03/2019	1205	22	27	36	38	40	42
27/03/2019	1204	3	9	20	35	38	44
23/03/2019	1203	1	9	15	18	41	47
20/03/2019	1202	1	5	22	26	40	49
16/03/2019	1201	5	11	27	31	41	42
13/03/2019	1200	14	23	32	36	38	43
09/03/2019	1199	8	18	29	43	45	49
06/03/2019	1198	6	10	20	22	30	48
02/03/2019	1197	3	13	15	16	20	46
27/02/2019	1196	3	5	9	10	14	23
23/02/2019	1195	17	27	40	43	46	47
20/02/2019	1194	5	7	27	31	32	45
16/02/2019	1193	7	11	22	30	37	44
13/02/2019	1192	1	18	21	24	48	49
09/02/2019	1191	3	13	32	44	46	49
06/02/2019	1190	2	5	8	13	16	35
02/02/2019	1189	5	6	17	21	27	41
30/01/2019	1188	3	8	9	11	19	44
26/01/2019	1187	13	19	32	42	47	48
23/01/2019	1186	14	15	18	34	38	45
19/01/2019	1185	8	20	24	25	28	37
16/01/2019	1184	4	10	16	23	48	49
12/01/2019	1183	5	17	21	24	29	40
09/01/2019	1182	13	32	33	42	43	47
05/01/2019	1181	2	20	29	38	46	47
02/01/2019	1180	2	4	15	29	31	45
2018
Tarih	Hft	T1	T2	T3	T4	T5	T6
29/12/2018	1179	12	29	32	34	46	49
26/12/2018	1178	19	31	33	40	42	48
22/12/2018	1177	4	8	9	26	40	48
19/12/2018	1176	4	18	22	23	35	45
15/12/2018	1175	18	25	29	30	32	44
12/12/2018	1174	25	33	36	45	47	48
08/12/2018	1173	1	5	7	14	46	47
05/12/2018	1172	16	18	23	24	37	47
01/12/2018	1171	6	17	20	31	32	47
28/11/2018	1170	9	21	30	33	39	42
24/11/2018	1169	1	11	14	20	30	44
21/11/2018	1168	22	30	31	36	39	49
17/11/2018	1167	6	30	34	36	41	46
14/11/2018	1166	5	8	14	17	45	46
10/11/2018	1165	9	15	18	28	29	46
07/11/2018	1164	13	17	22	23	28	46
03/11/2018	1163	1	23	27	28	39	48
31/10/2018	1162	23	29	34	37	38	45
27/10/2018	1161	4	9	22	28	29	47
24/10/2018	1160	1	8	15	22	28	34
20/10/2018	1159	8	25	29	31	41	47
17/10/2018	1158	5	17	26	27	30	38
13/10/2018	1157	18	19	28	30	36	39
10/10/2018	1156	3	12	30	41	43	48
06/10/2018	1155	1	5	25	35	47	48
03/10/2018	1154	2	5	12	14	22	38
29/09/2018	1153	2	3	13	25	29	32
26/09/2018	1152	2	15	18	37	47	48
22/09/2018	1151	1	4	12	27	46	49
19/09/2018	1150	10	32	33	37	43	48
15/09/2018	1149	4	20	25	30	43	44
12/09/2018	1148	3	26	31	34	44	48
08/09/2018	1147	16	19	23	30	31	44
05/09/2018	1146	6	7	9	14	26	35
01/09/2018	1145	3	9	21	25	30	38
29/08/2018	1144	1	2	13	28	39	46
25/08/2018	1143	4	25	37	38	42	43
22/08/2018	1142	4	8	30	36	44	49
18/08/2018	1141	4	12	19	30	33	47
15/08/2018	1140	3	10	15	18	25	43
11/08/2018	1139	9	15	16	21	32	33
08/08/2018	1138	6	12	18	42	43	46
04/08/2018	1137	13	21	24	30	45	46
01/08/2018	1136	4	6	14	20	38	47
28/07/2018	1135	7	9	10	11	38	46
25/07/2018	1134	1	9	16	19	26	46
21/07/2018	1133	4	15	20	24	27	46
18/07/2018	1132	1	25	26	35	38	48
14/07/2018	1131	1	5	13	20	25	39
07/07/2018	1130	3	8	13	20	30	46
30/06/2018	1129	6	7	17	18	20	46
23/06/2018	1128	1	3	10	19	24	42
16/06/2018	1127	10	15	22	40	41	45
09/06/2018	1126	1	3	22	25	34	43
02/06/2018	1125	12	16	32	35	40	47
26/05/2018	1124	1	10	11	13	26	34
19/05/2018	1123	3	4	5	21	24	34
12/05/2018	1122	2	3	9	21	32	42
05/05/2018	1121	3	6	18	19	26	31
28/04/2018	1120	4	5	16	36	39	42
21/04/2018	1119	5	6	18	41	43	49
14/04/2018	1118	3	11	34	37	40	43
07/04/2018	1117	1	19	28	29	39	43
31/03/2018	1116	8	15	20	29	39	41
24/03/2018	1115	4	6	36	37	39	43
17/03/2018	1114	2	16	17	31	44	48
10/03/2018	1113	3	15	20	26	28	35
03/03/2018	1112	10	21	25	38	41	46
24/02/2018	1111	5	7	10	17	20	21
17/02/2018	1110	3	5	8	32	35	36
10/02/2018	1109	2	8	17	33	37	41
03/02/2018	1108	8	14	31	34	38	41
27/01/2018	1107	4	14	16	40	44	45
20/01/2018	1106	11	13	19	25	35	40
13/01/2018	1105	2	14	27	31	32	45
06/01/2018	1104	3	10	30	32	39	46
2017
Tarih	Hft	T1	T2	T3	T4	T5	T6
30/12/2017	1103	3	6	19	35	38	41
23/12/2017	1102	4	7	10	17	20	45
16/12/2017	1101	2	21	38	40	41	44
09/12/2017	1100	2	7	11	28	32	46
02/12/2017	1099	1	5	8	17	20	46
25/11/2017	1098	3	11	20	32	40	45
18/11/2017	1097	1	11	13	18	26	49
11/11/2017	1096	12	14	20	26	40	48
04/11/2017	1095	14	21	32	37	47	49
28/10/2017	1094	4	5	9	22	34	41
21/10/2017	1093	7	12	26	29	31	36
14/10/2017	1092	4	6	12	33	34	45
07/10/2017	1091	11	17	19	27	35	38
30/09/2017	1090	6	9	12	24	27	39
23/09/2017	1089	2	19	31	36	42	48
16/09/2017	1088	5	20	36	41	45	46
09/09/2017	1087	3	8	17	18	32	38
02/09/2017	1086	3	13	18	31	43	49
26/08/2017	1085	14	36	39	43	44	49
19/08/2017	1084	11	15	16	17	18	40
12/08/2017	1083	3	8	10	18	45	48
05/08/2017	1082	23	32	44	45	47	48
29/07/2017	1081	22	23	26	30	40	45
22/07/2017	1080	1	13	14	19	29	30
15/07/2017	1079	6	7	11	22	41	42
08/07/2017	1078	4	15	25	31	40	49
01/07/2017	1077	3	8	13	22	40	48
24/06/2017	1076	7	10	22	23	30	45
17/06/2017	1075	5	8	25	28	45	49
10/06/2017	1074	3	5	29	34	38	40
03/06/2017	1073	13	17	25	31	41	42
27/05/2017	1072	5	14	16	18	31	48
20/05/2017	1071	9	11	28	29	33	37
13/05/2017	1070	13	19	21	22	34	49
06/05/2017	1069	1	5	17	35	42	47
29/04/2017	1068	3	9	12	17	22	45
22/04/2017	1067	5	18	25	28	38	41
15/04/2017	1066	1	2	23	39	41	45
08/04/2017	1065	21	22	24	25	32	39
01/04/2017	1064	3	9	25	34	38	41
25/03/2017	1063	1	8	12	19	20	23
18/03/2017	1062	12	16	28	37	46	49
11/03/2017	1061	4	7	13	22	25	27
04/03/2017	1060	1	15	26	31	33	43
25/02/2017	1059	13	20	25	28	30	48
18/02/2017	1058	2	18	28	33	36	40
11/02/2017	1057	4	12	24	25	29	47
04/02/2017	1056	16	27	28	32	42	43
28/01/2017	1055	5	6	19	21	24	26
21/01/2017	1054	22	23	31	35	43	48
14/01/2017	1053	5	26	29	34	35	36
07/01/2017	1052	8	9	14	20	38	44
2016
Tarih	Hft	T1	T2	T3	T4	T5	T6
31/12/2016	1051	4	9	25	28	40	43
24/12/2016	1050	8	10	33	46	48	49
17/12/2016	1049	8	9	10	25	33	36
10/12/2016	1048	5	10	11	21	27	30
03/12/2016	1047	24	26	36	43	44	46
26/11/2016	1046	5	21	22	26	29	44
19/11/2016	1045	11	26	30	39	41	48
12/11/2016	1044	13	28	36	39	41	47
05/11/2016	1043	11	23	35	39	48	49
29/10/2016	1042	4	10	30	36	44	46
22/10/2016	1041	9	11	13	14	16	44
15/10/2016	1040	12	19	23	33	42	49
08/10/2016	1039	18	25	33	34	37	45
01/10/2016	1038	4	14	25	27	31	39
24/09/2016	1037	7	16	17	18	31	32
17/09/2016	1036	12	18	22	35	37	45
10/09/2016	1035	2	11	22	27	30	35
03/09/2016	1034	2	12	14	22	31	34
27/08/2016	1033	17	19	23	29	44	46
20/08/2016	1032	9	24	28	29	33	49
13/08/2016	1031	13	18	19	20	38	49
06/08/2016	1030	2	18	27	31	33	38
30/07/2016	1029	2	14	22	23	38	47
23/07/2016	1028	7	12	14	34	40	46
16/07/2016	1027	12	16	27	36	46	48
09/07/2016	1026	6	11	21	39	40	48
02/07/2016	1025	4	35	39	40	42	46
25/06/2016	1024	6	7	11	16	24	35
18/06/2016	1023	4	10	20	22	27	33
11/06/2016	1022	14	16	26	37	38	45
04/06/2016	1021	7	9	30	33	36	45
28/05/2016	1020	4	6	14	20	36	37
21/05/2016	1019	4	8	15	27	33	47
14/05/2016	1018	3	4	6	21	27	42
07/05/2016	1017	8	14	25	33	37	48
30/04/2016	1016	9	11	17	28	35	47
23/04/2016	1015	5	7	9	18	25	42
16/04/2016	1014	6	23	26	29	46	47
09/04/2016	1013	13	14	23	27	32	33
02/04/2016	1012	1	4	22	29	37	44
26/03/2016	1011	5	10	18	26	45	48
19/03/2016	1010	10	13	16	23	44	47
12/03/2016	1009	6	8	12	20	36	46
05/03/2016	1008	1	20	34	35	37	42
27/02/2016	1007	2	3	16	23	33	44
20/02/2016	1006	5	11	15	19	20	31
13/02/2016	1005	17	19	25	28	32	34
06/02/2016	1004	1	8	9	22	24	26
30/01/2016	1003	17	36	38	41	43	47
23/01/2016	1002	6	13	18	21	23	24
16/01/2016	1001	3	24	31	32	36	37
09/01/2016	1000	14	15	30	34	40	41
02/01/2016	999	10	11	13	23	30	41
2015
Tarih	Hft	T1	T2	T3	T4	T5	T6
26/12/2015	998	13	23	24	33	41	46
19/12/2015	997	30	34	35	40	42	45
12/12/2015	996	4	5	9	16	22	33
05/12/2015	995	2	14	16	24	26	28
28/11/2015	994	7	13	16	18	21	49
21/11/2015	993	6	11	21	26	33	39
14/11/2015	992	5	9	13	25	30	40
07/11/2015	991	1	2	22	24	26	29
31/10/2015	990	23	25	35	36	40	44
24/10/2015	989	5	10	22	35	38	40
17/10/2015	988	1	13	24	31	35	49
10/10/2015	987	12	19	26	34	46	47
03/10/2015	986	7	8	9	29	48	49
26/09/2015	985	8	14	19	32	34	38
19.09.2015	984	4	14	15	23	34	46
12.09.2015	983	1	5	15	40	43	48
05.09.2015	982	9	13	15	26	31	37
29.08.2015	981	1	15	18	28	38	46
22.08.2015	980	4	15	25	39	42	44
15.08.2015	979	1	4	10	15	16	20
08.08.2015	978	8	19	24	27	28	34
01.08.2015	977	20	31	36	40	41	49
25.07.2015	976	2	32	34	39	42	47
18.07.2015	975	1	18	22	24	32	42
11.07.2015	974	6	7	16	32	47	49
04.07.2015	973	2	4	20	22	26	29
27/06/2015	972	15	16	26	31	44	45
20/06/2015	971	2	15	16	27	38	49
13/06/2015	970	15	23	26	27	33	44
06/06/2015	969	3	8	11	18	33	40
30/05/2015	968	2	12	13	19	23	47
23/05/2015	967	1	11	26	27	42	44
16/05/2015	966	4	18	20	28	34	36
09/05/2015	965	5	10	11	12	16	33
02/05/2015	964	6	16	26	32	38	44
25/04/2015	963	4	16	17	21	32	41
18/04/2015	962	1	3	18	24	34	38
11/04/2015	961	2	3	8	15	16	48
04/04/2015	960	12	14	15	30	31	41
28/03/2015	959	13	30	37	40	45	46
21/03/2015	958	4	9	21	22	33	41
14/03/2015	957	7	8	19	24	29	41
07/03/2015	956	1	21	22	23	33	35
28/02/2015	955	6	20	22	38	42	44
21/02/2015	954	6	20	30	35	38	42
14/02/2015	953	2	8	11	15	17	23
07/02/2015	952	4	7	17	19	30	47
31/01/2015	951	4	5	11	17	47	49
24/01/2015	950	1	21	24	26	28	42
17/01/2015	949	2	19	30	39	42	49
10/01/2015	948	1	2	16	17	29	44
03/01/2015	947	2	4	5	24	43	47
2014
Tarih	Hft	T1	T2	T3	T4	T5	T6
27/12/2014	946	24	32	37	38	42	47
20/12/2014	945	2	9	35	38	39	49
